Ticket ID,Title,Description,Resolution,Status
MCC-1,Session Expires Immediately After Login,"A user logged in successfully but was immediately logged out, as if the session expired instantly (reported 2025-03-05). The user would enter credentials, see the dashboard briefly, then get kicked back to the login screen. This was traced to a server-side session timeout misconfiguration set to 0 minutes for that server instance.","Corrected the session timeout setting to the intended 30 minutes. After the fix, the user’s session remains active as expected. Deployed the config change across all servers to ensure consistency.",Resolved
MCC-2,Server Error 500 on Login,"On 2025-03-12 at 09:00 UTC, all users were receiving a ""Server Error"" when trying to log in via the web portal. Monitoring showed a spike in errors. The cause was an out-of-memory error on the authentication server which crashed and returned 500 for all requests.","Restarted the authentication server and increased its memory allocation. Once the server was back up, logins worked again. Scheduled further investigation to find and fix the memory leak that led to the crash.",Resolved
MCC-3,Reward Points Not Credited for Purchase,"A customer noticed that reward points were not accrued for a particular purchase on 2025-03-15. The transaction was eligible for points, but the points balance remained unchanged. We found the rewards calculation job failed on that day due to a memory issue, skipping some transactions.",Manually credited the missing points to the user’s account. Rescheduled the rewards job and increased its memory allocation. All pending reward calculations were processed and future transactions are now awarding points correctly.,Resolved
MCC-4,3D Secure Verification Fails for Transactions,"Some users could not complete credit card bill payments because the 3D Secure (OTP verification) step kept failing. They reported seeing an error after entering the OTP, despite correct entry. It was traced to a timeout in the 3DS verification API call.","Extended the timeout for 3D Secure responses and improved error handling. After deploying the fix, users were able to complete the verification step successfully.",Resolved
MCC-5,Password Reset Link Expiring Too Soon,"Several users reported that the password reset links they received expired just minutes after receipt (ticket raised 2025-03-10). One user clicked the link within 10 minutes and got an ""invalid or expired token"" error. The reset token expiration was mistakenly set to 5 minutes due to a configuration error.",Increased the reset link validity period to 30 minutes. Deployed the config change and confirmed users can now successfully reset their passwords within a reasonable time frame.,Resolved
MCC-7,iOS App Crashes on Payment Submission,"After the latest app update (v2.5.1), iOS users reported that the app crashes whenever they attempt to submit a payment. Crash logs pointed to a null reference in the payment submission handler on iOS only.",Issued a hotfix update v2.5.2 for iOS to resolve the null reference. Affected users updated the app and confirmed payments now go through without crashing.,Resolved
MCC-8,Payment Failure with Specific Bank Accounts,"Several users with ABC Bank accounts reported payment failures on 2025-03-30. Other banks' users were not affected. The error from ABC Bank's API was ""account verification failed"". It turned out ABC Bank changed their API response format, breaking our parsing logic.",Adjusted the parser for ABC Bank responses and hotfixed the service. Affected users were asked to retry and their payments went through after the fix.,Resolved
MCC-9,Interest Charged Despite Timely Payment,A user noticed interest charges on their account even though they paid the previous statement in full before the due date (2025-03-25). This should not happen in a grace period. The support team verified the payment was on time. A bug in the interest calculation module failed to exclude that account from interest accrual.,Reversed the incorrect interest charges on the user's account and patched the interest calculation logic. Confirmed that timely payments now properly prevent interest from being charged.,Resolved
MCC-10,Payment Gateway Timeout during Checkout,"Multiple users reported around 2025-04-01 that their credit card bill payments were failing. The app's checkout would spin for a long time and eventually show a timeout error. Logs show GatewayTimeoutException contacting the payment processor. This started after a network maintenance at midnight, causing transaction timeouts.","Increased the payment API timeout from 30s to 60s and restarted the gateway service, which resolved the issue.",Resolved
MCC-11,Android App Crash on Login Screen,"After a recent update (v2.4.0) on 2025-03-30, the Android app started crashing on the login screen for some users. It occurred right after entering credentials and hitting Login. Crash logs revealed a null pointer exception in the login activity related to a missing configuration on Android 8 devices specifically.","Released a hotfix (v2.4.1) for Android addressing the null pointer. Users updated the app, and the login screen no longer crashes. Added tests for older Android versions to catch such issues.",Resolved
MCC-12,Password Reset Email Not Sent,"A customer requested a password reset on 2025-03-05 but never received the reset email. Customer support verified the email address was correct. System logs showed our email service was down at that time, so the reset email was not dispatched. The user could not log in as a result.","Restarted the email service and sent a new password reset email to the user. Added monitoring to alert the team if emails fail, to prevent delays in users receiving reset links.",Resolved
MCC-14,Duplicate Autopay Charge for Same Cycle,"Two automatic payments were deducted for a single billing cycle from one user's bank account on 2025-03-16. Essentially, autopay ran twice. Logs show the autopay job was triggered twice due to a server failover, causing a duplicate execution for that user.",Refunded the duplicate payment to the user and updated the job scheduler to be idempotent in case of failover. No further duplicate autopays have been observed since.,Resolved
MCC-15,Old App Version Unable to Login,"After a backend API update on 2025-03-25, users with very old app versions (pre v2.0) could no longer log in; they saw an ""Unsupported Version"" error. This was intended (for security), but the message was not clear, and some users didn't realize they needed to update the app.",Reached out to affected users to upgrade to the latest app. Improved the error message to explicitly prompt for app update. No code change on backend since this was expected behavior.,Resolved
MCC-16,Autopay for Monthly Bill Failing,"Multiple users complained in early April 2025 that their automatic monthly bill payments did not go through as scheduled on the 1st of the month. The scheduled job log shows it aborted due to a null pointer exception on one account, causing all subsequent autopays to skip.","Ran the autopay job manually for pending accounts and fixed the null check in the batch job code. The fix was released, and autopay succeeded in the next cycle.",Resolved
MCC-17,Password Reset Prompt on Every Login,User Jim L. reported that he is forced to reset his password every time he logs in. Each successful login immediately prompted a password reset upon next attempt. This began after a security policy change on 2025-03-04. A flag on his account was incorrectly left in 'reset required' state after he already reset his password.,Cleared the stale reset-required flag on the user’s account. The user can now log in without being asked to reset again. Modified the password reset flow to ensure the flag is cleared once a reset is completed.,Resolved
MCC-20,Profile Data Corruption Causing Login Fail,"One user account consistently failed to log in, while others were fine (ticket 2025-03-13). For this user, the login service threw an exception. We found the user's profile data had a null value in a field that the login process requires, causing a null pointer exception on every login attempt for that account.","Updated the user's profile data to correct the null field, restoring login functionality for that account. Added validation in the login service to handle missing data gracefully so it doesn't block login entirely.",Resolved
MCC-21,Cash Advance Limit Calculation Error,"A user attempted a cash advance of $300 with a $500 cash advance limit available, but it was declined as over limit. The system incorrectly calculated the cash advance availability at $0 for this user (support ticket on 2025-03-17). It turned out a recent payment didn’t update the cash sub-limit properly.","Fixed the logic updating cash advance sub-limits after payments. Once fixed, the user was able to withdraw cash within their limit. Also corrected the user's record and similar accounts where the cash advance availability was misreported.",Resolved
MCC-22,New Card Activation Failure,"New customers reported being unable to activate their MemoCreditCard via the app. On 2025-03-01, several activation attempts resulted in an error ""Activation failed, try again later."" The activation service was found to be pointing to a deprecated endpoint, causing all activations to fail.",Updated the app to use the correct activation endpoint and retried activation for affected users. New cards can now be activated successfully. Provided instructions to customers who still had inactive cards on how to retry activation.,Resolved
MCC-23,Nightly Payment Batch Job Failure,"On 2025-02-28, the nightly batch that reconciles daily payments failed. An error in the logs (NullPointerException in PaymentReconciliation) caused the job to stop, leaving some payments unprocessed until the next day. Support noticed some end-of-day payments not applied to balances.",Identified and fixed the null pointer bug in the batch job. Reconciled the pending payments manually. Deployed fix in patch v1.3.9 to prevent future batch failures.,Resolved
MCC-24,Apple ID Login Fails,"iOS users who use ""Sign in with Apple"" to access the app were unable to log in starting on 2025-03-29. After authenticating with Apple, the app returned to a login screen instead of proceeding. The Apple OAuth token validation was failing because our service's Apple signing key expired and wasn't rotated.",Updated the Apple Sign-In configuration with a new valid key. Deployed the fix and confirmed that Sign in with Apple is working again. Advised by Apple to set up automatic key rotation to avoid future expirations.,Resolved
MCC-25,Foreign Currency Transaction Failure,A user traveling overseas (Europe) had their card transaction declined despite available credit. The support ticket (2025-02-20) notes the error code indicated a currency conversion overflow. It appears the transaction amount in euros overflowed an integer field when converting to USD cents.,Patched the code to use a larger data type for amount conversion. The user was able to retry the transaction successfully after the fix.,Resolved
MCC-29,Over-Limit Fee Charged in Error,"A customer noticed an ""Over Limit Fee"" on their bill even though they never exceeded their credit limit (ticket 2025-03-16). On analysis, a temporary authorization hold and a purchase overlapped, incorrectly flagging the account as over limit for a moment, which triggered the fee.",Removed the erroneous fee and adjusted the account. Patched the fee assessment logic to ignore transient holds when the final balance doesn’t actually exceed the limit. The user’s next statement will reflect the fee reversal.,Resolved
MCC-30,Whitespace in Username Caused Login Failure,"A customer had a space at the end of their email when trying to log in (e.g., ""user@example.com ""). The app returned ""invalid credentials"" until the whitespace was removed. This was reported on 2025-02-14. The system was not trimming input, so the email did not match the stored username exactly.","Implemented trimming of leading/trailing whitespace in username/email input on both client and server side. After this fix, the user (and others) can log in even if accidental spaces are present in the input.",Resolved
MCC-31,Credit Limit Differs on Mobile vs Web,"One user observed that the mobile app showed an available credit of $2,300, while the web portal showed $2,500 at the same time (ticket 2025-03-03). There was a discrepancy of $200. This was because the mobile app was using cached data from the previous day, whereas the web fetched real-time data.","Aligned the mobile app to always fetch fresh data on login and when viewing critical info like credit limits. After the fix, both mobile and web consistently show the same available credit. The user confirmed the values are now in sync.",Resolved
MCC-32,Google Social Login Fails,"Users attempting to log in via Google OAuth reported errors on 2025-03-20. After selecting Google login, the redirect returned an error ""OAuth client ID mismatch"" and users could not sign in. This happened after a Google API key rotation where the new client ID wasn’t updated in our app config.",Updated the Google OAuth client ID in the configuration and redeployed the web portal. Google login functionality was restored and users could authenticate via Google again.,Resolved
MCC-35,Multi-Currency Limit Calculation Bug,"A user spending in EUR found that after a EUR 100 transaction, his available credit in the app dropped by more than the equivalent USD amount. Reported 2025-03-10, it turned out that currency conversions for foreign transactions were rounding up in a way that cumulatively reduced available credit too much.",Fixed the currency conversion logic to properly round and apply foreign charges. The user's available credit display was corrected to the right USD equivalent. Verified with test transactions in multiple currencies that the issue is resolved.,Resolved
MCC-36,Payment Declined - CVV Validation Error,"A customer (Jane Doe) on 2025-03-18 reported that her payment was repeatedly declined. The error message in the app indicated a CVV code mismatch. Upon investigation, it was discovered that the user was entering an old CVV. Once the correct CVV was used, the payment went through.",No system changes needed; guided the user to enter the correct CVV and updated the error message to be clearer.,Resolved
MCC-38,Partial Payment Fails to Post,"A customer tried to make a partial payment (less than the full statement balance) on 2025-03-12 and received an error ""Amount not allowed."" The system erroneously required full payment due to a validation bug. Logs show a validation exception when amount < total due.",Corrected the validation logic in the payment module to allow partial payments. Deployed fix in release v1.4.5.,Resolved
MCC-42,Quick PIN Login Broken After Update,"Our app offers a 4-digit PIN login feature for convenience. After the 2025-03-10 update, several users reported that entering their PIN on the login screen just refreshed the screen and did not log them in, forcing them to enter full credentials. A bug in v2.4.0 broke the quick PIN authentication on the client side.","Fixed the PIN login code in app v2.4.1. Affected users updated the app and confirmed that the PIN login works again. Also ensured that if PIN login fails, the app properly falls back to ask for full credentials with a clear message.",Resolved
MCC-43,Payment Posting Delay Caused Late Fee,"A customer paid their bill on the due date (2025-03-31), but due to a processing delay the payment was posted a day late. The user was incorrectly charged a late fee as a result. The support team escalated on 2025-04-01 after the user provided proof of timely payment.",Waived the late fee for the user and corrected the posting timestamp in the system. A fix is in progress to ensure payments made on the due date are recognized to prevent wrongful fees.,Resolved
MCC-45,Duplicate Payment Entry in Ledger,"A customer noticed that a single payment he made on 2025-02-15 was showing twice in his transaction history (one as pending, one as posted). Only one actual payment was made and his bank was charged once. This appears to be a synchronization glitch that logged the transaction twice.",Removed the duplicate ledger entry for the user and fixed the sync process to ensure transactions are recorded only once. The user’s displayed balance was corrected.,Resolved
MCC-47,Unauthorized Transaction Reported,A user noticed a transaction on their account that they did not make – a $200 charge at a store in another city (reported 2025-03-26). This indicates a likely fraudulent transaction on the user's card. The user contacted support immediately upon seeing the unfamiliar charge.,The support team froze the card to prevent further misuse and guided the user through the fraud claim process. A new card was issued to the user. No application changes were required as this was a security incident handled per standard procedure.,Resolved
MCC-48,Logout Doesn’t End Session Properly,"A user logged out of the mobile app, but when they reopened it, they found they were still logged in without needing to enter credentials (reported 2025-03-22). The logout API call was not fully invalidating the session token on the server, leaving the session active.","Fixed the logout routine to revoke the session token on the server side. After the patch, logging out truly terminates the session. The user’s account was checked to ensure no concurrent sessions remained active after logout.",Resolved
MCC-49,Bounced Payment Not Marked as Failed,"An ACH payment from a user’s bank bounced due to insufficient funds, but our system still showed the credit card as paid. The issue was found on 2025-03-07 when the user noticed their bank reversed the payment but their card account still reflected it as paid, potentially hiding a missed payment.",Updated the user's account to reverse the payment and charge the due amount. Implemented checks to handle bank return files properly so that bounced payments update the account status moving forward.,Resolved
MCC-51,Payment Confirmation Email Not Sent,"A user paid their bill and expected a confirmation email receipt, but none arrived. The support team received multiple such reports on 2025-03-11. Logs show our email service was down for 2 hours, causing receipt emails to fail.",Restarted the email service and re-sent confirmation emails for all affected transactions. Implemented monitoring to alert if email service is down in the future.,Resolved
MCC-53,Slow Login During Peak Hours,"Users reported very slow logins around 9:00 AM daily, with some logins taking over 30 seconds or timing out (observed 2025-03-01 through 2025-03-03). This corresponded with peak usage. The auth server CPU usage was maxed out during those times, causing delays.","Scaled up the authentication server capacity and optimized the login query. After these changes, login times during peak hours improved significantly and timeouts ceased. Continue to monitor performance under load.",Resolved
MCC-56,Address Update Failing in Profile,"User attempts to update their mailing address through the app resulted in a generic ""Unable to save changes"" error (several reports on 2025-03-05). This was traced to the address validation service rejecting valid addresses with apartment numbers due to a formatting bug.",Fixed the address validation regex and deployed the change. The user was able to save their updated address successfully. Other users’ addresses with apartment/unit numbers can now be saved without errors.,Resolved
MCC-57,Credit Limit Increase Not Reflected,"A user was approved for a credit limit increase from $5,000 to $7,500, but the app continued to show the old limit even after approval (reported 2025-03-15). The backend had the new limit, but the change wasn’t propagating to the mobile app due to a caching issue.","Cleared the cache and the new limit displayed correctly. Deployed a fix so that limit changes purge the cache immediately. Verified the user’s app now shows the $7,500 limit.",Resolved
MCC-58,Login OTP Arrives After Expiration,"A customer complained on 2025-03-18 that by the time the login OTP code was delivered to her phone (around 5 minutes later), it had already expired, preventing her from logging in. There was a delay on the SMS provider's side during peak hours, causing codes to arrive too late.",Extended OTP validity from 3 minutes to 10 minutes to account for possible SMS delays. Also coordinating with the SMS provider to improve delivery times. The user was able to log in on subsequent attempts with the extended window.,Resolved
MCC-59,Password Change Rejected Despite Meeting Criteria,"User Emily R. attempted to change her password and the system kept rejecting the new password citing complexity rules, even though it met all requirements (uppercase, number, symbol, etc.). She raised this on 2025-03-22. Logs revealed a regex bug in the password policy check, incorrectly rejecting valid passwords with certain special characters.","Fixed the password policy regex to correctly recognize valid special characters. After the fix, the user was able to set her new password successfully.",Resolved
MCC-60,Payment Form Blocks Special Characters,A customer (O'Brian) reported on 2025-03-08 that he couldn’t submit the payment form because his last name contains an apostrophe. The form validation kept throwing an error. This prevented him from paying his bill through the app.,Updated client-side and server-side validation to accept special characters in names. User confirmed he could complete the payment after the fix.,Resolved
MCC-64,Supplementary Card Limit Not Updated,"A primary cardholder increased their credit limit, but the supplementary card (authorized user card) still reflected the old limit on its separate login. Reported on 2025-03-21, the supplementary account’s view did not update because it was stored separately and not linked in the update process.",Ran a job to sync the new limit to all supplementary card profiles. Modified the limit update routine to propagate changes to any linked authorized user accounts. Both primary and supplementary users now see the updated limit.,Resolved
MCC-67,Valid Transaction Declined as Over Limit,"User attempt of a $100 purchase was declined as ""over limit"" even though they had $300 available credit remaining (ticket on 2025-03-18). This appears to be a miscalculation in available credit, possibly not accounting for a recent payment.",Recalculated the user's available credit correctly and removed an outdated pending hold that caused the miscalculation. Also fixed the algorithm for available credit to ensure all recent payments and holds are properly considered.,Resolved
MCC-68,Google Social Login Fails,"Users attempting to log in via Google OAuth reported errors on 2025-03-20. After selecting Google login, the redirect returned an error ""OAuth client ID mismatch"" and users could not sign in. This happened after a Google API key rotation where the new client ID wasn’t updated in our app config.",Updated the Google OAuth client ID in the configuration and redeployed the web portal. Google login functionality was restored and users could authenticate via Google again.,Resolved
MCC-72,Payment Gateway Timeout during Checkout,"Multiple users reported around 2025-04-01 that their credit card bill payments were failing. The app's checkout would spin for a long time and eventually show a timeout error. Logs show GatewayTimeoutException contacting the payment processor. This started after a network maintenance at midnight, causing transaction timeouts.","Increased the payment API timeout from 30s to 60s and restarted the gateway service, which resolved the issue.",Resolved
MCC-76,Payment Deducted but Not Reflected in Balance,"A user paid their credit card bill via the app, the amount was debited from their bank account, but their MemoCreditCard balance did not update. The incident (raised by support on 2025-02-10) includes screenshots of the bank confirmation and the still-unupdated balance. It appears the payment confirmation callback from the bank failed.",Manually updated the user's balance in the database and restarted the payment confirmation service. A permanent fix is underway to handle missed callbacks by retrying automatically.,Resolved
MCC-79,Scheduled Payment Processed on Wrong Date,"A user scheduled a payment for 2025-04-05, but the payment was processed on 2025-04-04 instead. The user noticed the amount debited a day early. Investigation found a timezone offset issue in the scheduling module, causing some payments to trigger at 00:00 UTC rather than the local date intended.",Adjusted the scheduling logic to use local date for execution. The user’s account was reviewed to ensure no duplicate payment on the actual intended date.,Resolved
MCC-81,Unable to Freeze/Unfreeze Card,"A user tried to temporarily freeze (block) their card after misplacing it, but the toggle in the app did nothing. Likewise, unfreezing later failed (reported 2025-03-18). The backend service for card status change was returning an unauthorized error due to a missing API key in the request.","Injected the correct API key into the card management service calls. After the fix, the user was able to freeze and unfreeze the card via the app. All users now have functioning card freeze/unfreeze capability.",Resolved
MCC-82,Login Captcha Not Loading,"Several users in 2025-03 reported that they could not log in because the CAPTCHA verification on the login page was not loading. They would see a blank CAPTCHA box or a perpetual loading icon. The root cause was an expired API key for the CAPTCHA service, causing it to fail to display.",Renewed the CAPTCHA service API key and the login CAPTCHA began loading correctly. Also implemented an alert for CAPTCHA failures so users aren't blocked from login due to unnoticed expiration.,Resolved
MCC-87,Duplicate Charge due to Payment Retry,"User John D. reported on 2025-03-20 that he was charged twice for a single credit card bill payment. He saw an error on the first attempt and retried, but later noticed two identical charges on his bank statement. The server logs show the first payment actually succeeded despite the error shown to the user.",Refunded the duplicate charge and deployed a fix to prevent showing false failure when the payment actually goes through.,Resolved
MCC-88,Over-Limit Spending Not Blocked,It was discovered (2025-03-25) that a user was able to charge $5200 on their card with a $5000 limit. The transaction that exceeded the limit was erroneously approved. The system’s over-limit check failed due to a bug in the real-time transaction validation logic.,"Added a patch to correctly enforce the credit limit on all transactions. The particular over-limit transaction was allowed to stand (per policy), but an alert was set up to catch any similar incidents until the fix was deployed to all servers.",Resolved
MCC-92,Payment Due Reminder Notification Not Sent,"A user expected a payment due reminder notification/email 5 days before the due date, but did not receive it (ticket 2025-02-25). Other users also reported missing reminders. The notification service logs showed that the job scheduling these reminders did not run for that billing cycle due to a server reboot.","Manually sent due reminders to affected users. Fixed the scheduler to resume properly after a reboot and added redundancy. Future due date reminders are now being sent as expected, confirmed by the next cycle’s notifications.",Resolved
MCC-94,Payment Receipt Download Fails,"After making a payment, the user attempted to download the receipt PDF, but clicking the link resulted in a 404 error. The issue (raised 2025-02-20) occurred because the receipt file was not being generated for payments made via the mobile app, due to a missing flag in the request.",Fixed the receipt generation service to create PDFs for all payment sources. Provided the user with a copy of the receipt. Confirmed in QA that receipt downloads now work for mobile app payments.,Resolved
MCC-95,Autopay Took Wrong Amount,"A user enrolled in autopay for minimum due was charged the full statement balance on 2025-03-17, contrary to their settings. The configuration was for minimum due, but the system debited the entire balance. This was traced to a bug where autopay defaulted to full balance if the user’s previous statement was zero.",Refunded the overpaid amount on request and corrected the autopay logic. The autopay service now correctly respects the user’s minimum due setting under all conditions.,Resolved
MCC-96,Password Change Rejected Despite Meeting Criteria,"User Emily R. attempted to change her password and the system kept rejecting the new password citing complexity rules, even though it met all requirements (uppercase, number, symbol, etc.). She raised this on 2025-03-22. Logs revealed a regex bug in the password policy check, incorrectly rejecting valid passwords with certain special characters.","Fixed the password policy regex to correctly recognize valid special characters. After the fix, the user was able to set her new password successfully.",Resolved
MCC-97,Rewards Redemption Error,"A user tried to redeem 5,000 reward points for a statement credit via the app, but the redemption failed with an error message (ticket 2025-03-30). The logs showed an exception in the rewards service when deducting points and issuing the credit, due to a null reference in the request payload.","Corrected the rewards redemption code to handle all fields properly. The user's points redemption was processed manually as a one-time credit. After deploying the fix, point-to-credit redemptions are completing without errors.",Resolved
MCC-99,Nightly Payment Batch Job Failure,"On 2025-02-28, the nightly batch that reconciles daily payments failed. An error in the logs (NullPointerException in PaymentReconciliation) caused the job to stop, leaving some payments unprocessed until the next day. Support noticed some end-of-day payments not applied to balances.",Identified and fixed the null pointer bug in the batch job. Reconciled the pending payments manually. Deployed fix in patch v1.3.9 to prevent future batch failures.,Resolved
MCC-100,Credit Limit Displayed in Wrong Currency,"A user in Canada reported on 2025-03-19 that the app was showing their credit limit as $10,000 USD instead of CAD (their actual limit was CAD 10,000). The currency symbol and value were incorrect due to a localization bug after a recent update that defaulted to USD for all regions.","Fixed the localization settings to use the account’s currency. After a patch, the user’s app correctly displayed CAD 10,000. Audited other regional settings to ensure no similar currency display issues persist.",Resolved
